"","Year","ESR_Region","Temperature","SD"
"1",2005,"Western Gulf of Alaska",4.66936293918316,0.234821117935147
"2",2006,"Western Gulf of Alaska",5.22093586383623,0.12588379419153
"3",2007,"Western Gulf of Alaska",4.85326833231414,0.167952140091504
"4",2008,"Western Gulf of Alaska",5.38662274271411,0.0215162491989617
"5",2009,"Western Gulf of Alaska",5.04127672461489,0.109555233774998
"6",2010,"Western Gulf of Alaska",4.53058971783,0.374569896004086
"7",2011,"Western Gulf of Alaska",5.14507788066742,0.228774694774513
"8",2012,"Western Gulf of Alaska",4.95095105704551,0.222358541681617
"9",2013,"Western Gulf of Alaska",4.99538955289951,0.0591435534803303
"10",2014,"Western Gulf of Alaska",5.21985479456044,0.130630848323698
"11",2015,"Western Gulf of Alaska",4.874307358551,0.121818384647181
"12",2016,"Western Gulf of Alaska",4.75989579511371,0.213464547391799
"13",2017,"Western Gulf of Alaska",5.32918714431636,0.0424567434091478
"14",2018,"Western Gulf of Alaska",5.06804339763495,0.0805725313538849
"15",2019,"Western Gulf of Alaska",5.44513918877801,0.351371976591303
"16",2020,"Western Gulf of Alaska",5.28863132063184,0.220778004853989
"17",2021,"Western Gulf of Alaska",5.20865455015051,0.114986939547409
"18",2022,"Western Gulf of Alaska",5.29634529747524,0.102406654760715
